yr_qt,OldValue,OpportunityID,Event,FieldEvent,NewValue,Stage,Probability,StageLength,days_in_stage,CreatedDate,ModifiedDate,from_date,EditYear,EditMonth,StageChangeDate,AccountCountry,StageDuration,Age,OldNewStage,quarter,yr_2
2015Q4,Prospect,138,138,138,138,138,138,138,138,138,138,138,138,138,134,137,138,138,138,138,138
2015Q4,Qualified,89,89,89,89,89,89,89,89,89,89,89,89,89,88,89,89,89,89,89,89
2015Q4,Short List,20,20,20,20,20,20,20,20,20,20,20,20,20,18,20,20,20,20,20,20
2016Q1,Buying Process id.,66,66,66,66,66,66,66,66,66,66,66,66,66,66,65,66,66,66,66,66
2016Q1,Chosen Vendor,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
2016Q1,Closed Deferred,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
2016Q1,Closed Lost,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016Q1,Closed Won,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016Q1,Created,205,205,205,205,205,205,205,205,205,205,205,205,205,190,203,205,205,205,205,205
2016Q1,Negotiation/Review,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2016Q1,PO In Progress,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
2016Q1,Prospect,145,145,145,145,145,145,145,145,145,145,145,145,145,145,144,145,145,145,145,145
2016Q1,Qualified,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
2016Q1,Re-Qualify,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2016Q1,Short List,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
2016Q2,Buying Process id.,101,101,101,101,101,101,101,101,101,101,101,101,101,101,99,101,101,101,101,101
2016Q2,Chosen Vendor,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
2016Q2,Closed Deferred,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
2016Q2,Created,259,259,259,259,259,259,259,259,259,259,259,259,259,222,245,259,259,259,259,259
2016Q2,Negotiation/Review,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2016Q2,PO In Progress,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
2016Q2,Prospect,320,320,320,320,320,320,320,320,320,320,320,320,320,320,312,320,320,320,320,320
2016Q2,Qualified,161,161,161,161,161,161,161,161,161,161,161,161,161,161,157,161,161,161,161,161
2016Q2,Re-Qualify,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
2016Q2,Short List,43,43,43,43,43,43,43,43,43,43,43,43,43,43,42,43,43,43,43,43
2016Q3,Buying Process id.,72,72,72,72,72,72,72,72,72,72,72,72,72,72,71,72,72,72,72,72
2016Q3,Chosen Vendor,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2016Q3,Closed Deferred,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
2016Q3,Closed Lost,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
2016Q3,Closed Won,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2016Q3,Created,126,126,126,126,126,126,126,126,126,126,126,126,126,100,120,126,126,126,126,126
2016Q3,Negotiation/Review,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2016Q3,PO In Progress,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
2016Q3,Prospect,221,221,221,221,221,221,221,221,221,221,221,221,221,221,214,221,221,221,221,221
2016Q3,Qualified,227,227,227,227,227,227,227,227,227,227,227,227,227,227,219,227,227,227,227,227
2016Q3,Re-Qualify,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
2016Q3,Short List,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
2016Q4,Buying Process id.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2016Q4,Chosen Vendor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016Q4,Closed Deferred,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016Q4,Closed Lost,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2016Q4,PO In Progress,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016Q4,Prospect,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2016Q4,Qualified,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2016Q4,Short List,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
